iso3,analysis_type,hazard,aad,population,aad_over_pop
ALB,Prospective,Flood,5231.36,2903700,0.00180161862451355
ALB,Prospective,Tsunami,6.01,2903700,0.00000206977304817991
ALB,Retrospective,Hydrometeorological,284.909,2903700,0.0000981192960705307
ALB,Retrospective,Landslides,191.841,2903700,0.0000660677755966525
ALB,Retrospective,Tectonic,92.8409,2903700,0.0000319733099149361
ALB,Retrospective,Total,569.591,2903700,0.000196160416020939
ALB,Hybrid,Total,10990,2903700,0.00378482625615594
AND,Prospective,Earthquake,0.46,69165,0.00000665076266897998
ARM,Prospective,Earthquake,2700.26,3026048,0.000892338786430354
ARM,Prospective,Flood,3220.93,3026048,0.00106440148999619
AUT,Prospective,Earthquake,1346.28,8569633,0.000157098909603247
AUT,Prospective,Flood,4663.87,8569633,0.000544232174236633
AZE,Prospective,Earthquake,4495.99,9868447,0.000455592455428904
AZE,Prospective,Flood,3619.38,9868447,0.000366762875658146
BEL,Prospective,Earthquake,495.94,11371928,0.000043610898697213
BEL,Prospective,Flood,1570.13,11371928,0.000138070694784561
BIH,Prospective,Earthquake,784.18,3802134,0.000206247333734161
BIH,Prospective,Flood,13955,3802134,0.00367030725376854
BLR,Prospective,Earthquake,1.2,9481521,0.000000126561972493654
BLR,Prospective,Flood,22911.4,9481521,0.00241642664715925
CHE,Prospective,Earthquake,913.62,8379477,0.000109030671007272
